asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
ETH,1h,CatBoost,EXT_ETH_1h_CatBoost,-1.2828,0.4928,1.0,0.905,0.4522,10889,
ETH,1h,LightGBM,EXT_ETH_1h_LightGBM,-1.0966,0.4859,1.0,0.8173,0.522,10889,
ETH,1h,RF,EXT_ETH_1h_RF,-1.3091,0.5068,1.0,0.9541,0.5275,10889,
ETH,1d,CatBoost,EXT_ETH_1d_CatBoost,0.7879,0.6161,1.0,0.7863,0.3969,653,
ETH,1d,LightGBM,EXT_ETH_1d_LightGBM,1.6402,0.6448,1.0,0.6947,0.6336,653,
ETH,1d,RF,EXT_ETH_1d_RF,1.3981,0.6308,1.0,0.7939,0.6031,653,
SOL,1h,CatBoost,EXT_SOL_1h_CatBoost,-0.2063,0.5109,1.0,0.9704,0.3225,12000,
SOL,1h,LightGBM,EXT_SOL_1h_LightGBM,-0.2514,0.5282,1.0,0.7946,0.4492,12000,
SOL,1h,RF,EXT_SOL_1h_RF,-0.1538,0.5194,1.0,0.9642,0.3758,12000,
SOL,1d,CatBoost,EXT_SOL_1d_CatBoost,0.4977,0.5639,1.0,0.6803,0.4836,608,
SOL,1d,LightGBM,EXT_SOL_1d_LightGBM,0.8168,0.5412,1.0,0.7213,0.6557,608,
SOL,1d,RF,EXT_SOL_1d_RF,1.9414,0.5876,1.0,0.6721,0.4672,608,
BTC,1h,CatBoost,EXT_BTC_1h_CatBoost,-0.8767,0.5008,1.0,0.9715,0.4229,15271,
BTC,1h,LightGBM,EXT_BTC_1h_LightGBM,-1.053,0.4885,1.0,0.8871,0.4795,15271,
BTC,1h,RF,EXT_BTC_1h_RF,-0.8546,0.5036,1.0,0.9843,0.4537,15271,
BTC,1d,CatBoost,EXT_BTC_1d_CatBoost,0.6912,0.4831,1.0,0.7572,0.4624,864,
BTC,1d,LightGBM,EXT_BTC_1d_LightGBM,0.3842,0.4616,1.0,0.7283,0.6243,864,
BTC,1d,RF,EXT_BTC_1d_RF,0.6641,0.4682,1.0,0.7688,0.5954,864,
BTC,multi,DM_CB,COST_DM_CB_0bp,0.954,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_0bp,0.6398,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_0bp,0.4163,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_5bp,0.9438,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_5bp,0.6094,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_5bp,0.3522,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_10bp,0.9336,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_10bp,0.579,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_10bp,0.2882,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_18bp,0.9173,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_18bp,0.5303,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_18bp,0.1858,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_30bp,0.8928,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_30bp,0.4572,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_30bp,0.0324,,,,,0,
BTC,multi,DM_CB,COST_DM_CB_50bp,0.8517,,,,,0,
BTC,multi,ML_1h,COST_ML_1h_50bp,0.3353,,,,,0,
BTC,multi,ML_15m,COST_ML_15m_50bp,-0.222,,,,,0,
BTC,1d,Baseline,BASE_Buy & Hold,0.6179,,,,,0,
BTC,1d,Baseline,BASE_SMA 200,0.7229,,,,,0,
BTC,1d,Baseline,BASE_RSI(14)>50,0.8045,,,,,0,
BTC,1d,Baseline,BASE_MACD Cross,0.6127,,,,,0,
BTC,1d,Baseline,BASE_DM 252/126+CB,0.9173,,,,,0,
BTC,1d,Baseline,BASE_1h ML balanced,0.5303,,,,,0,
BTC,1h,CatBoost_BullBias,BB_BTC_CatBoost,-0.8767,0.5008,,0.9715,0.4229,15271,
