asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events
BTC,1h,Transformer,DL_Transformer_BTC_1h,-1.1688,0.4993,1.0,0.8203,0.5087,15271
BTC,1h,LSTM_bidir,DL_LSTM_bidir_BTC_1h,-0.7485,0.5137,1.0,0.8907,0.4216,15271
BTC,1h,TCN,DL_TCN_BTC_1h,-1.2413,0.5017,1.0,0.7912,0.5499,15271
BTC,1d,Transformer,DL_Transformer_BTC_1d,-1.1564,0.428,1.0,0.7803,0.5491,864
BTC,1d,LSTM_bidir,DL_LSTM_bidir_BTC_1d,-0.2212,0.4607,1.0,0.8671,0.4335,864
BTC,1d,TCN,DL_TCN_BTC_1d,-0.8795,0.4305,1.0,0.7977,0.5954,864
ETH,1h,Transformer,DL_Transformer_ETH_1h,-1.1853,0.5103,1.0,0.742,0.5087,10889
ETH,1h,LSTM_bidir,DL_LSTM_bidir_ETH_1h,-0.6433,0.4969,1.0,0.7309,0.4109,10889
ETH,1h,TCN,DL_TCN_ETH_1h,-0.793,0.4884,1.0,0.7433,0.5514,10889
ETH,1d,Transformer,DL_Transformer_ETH_1d,1.9787,0.6427,1.0,0.7863,0.5038,653
ETH,1d,LSTM_bidir,DL_LSTM_bidir_ETH_1d,1.4642,0.583,1.0,0.855,0.3282,653
ETH,1d,TCN,DL_TCN_ETH_1d,1.0772,0.5674,1.0,0.6718,0.3664,653
SOL,1h,Transformer,DL_Transformer_SOL_1h,-1.3408,0.4937,1.0,0.7842,0.4288,12000
SOL,1h,LSTM_bidir,DL_LSTM_bidir_SOL_1h,-0.3336,0.5163,1.0,0.8196,0.375,12000
SOL,1h,TCN,DL_TCN_SOL_1h,-0.7776,0.5218,1.0,0.7088,0.5008,12000
SOL,1d,Transformer,DL_Transformer_SOL_1d,0.0459,0.5086,1.0,0.6885,0.4344,608
SOL,1d,LSTM_bidir,DL_LSTM_bidir_SOL_1d,-0.1475,0.5723,1.0,1.0,0.4098,608
SOL,1d,TCN,DL_TCN_SOL_1d,0.911,0.4318,1.0,0.8033,0.2213,608
