asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
BTC,1d,CatBoost_MC,MC_null_iter0,-0.7203,0.4494,1.0,,0.6369,838,
BTC,1d,CatBoost_MC,MC_null_iter1,2.9006,0.389,1.0,,0.4494,889,
BTC,1d,CatBoost_MC,MC_null_iter2,1.6223,0.4589,1.0,,0.7391,919,
BTC,1d,CatBoost_MC,MC_null_iter3,0.3337,0.5529,1.0,,0.6243,865,
BTC,1d,CatBoost_MC,MC_null_iter4,-0.7948,0.466,1.0,,0.5057,880,
BTC,1d,CatBoost_MC,MC_null_iter5,0.1948,0.5906,1.0,,0.5989,882,
BTC,1d,CatBoost_MC,MC_null_iter6,0.6226,0.5531,1.0,,0.6685,917,
BTC,1d,CatBoost_MC,MC_null_iter7,0.182,0.3769,1.0,,0.6105,860,
BTC,1d,CatBoost_MC,MC_null_iter8,0.3094,0.5015,1.0,,0.4686,875,
BTC,1d,CatBoost_MC,MC_null_iter9,1.7962,0.5649,1.0,,0.6034,868,
BTC,1d,CatBoost_MC,MC_null_iter10,-0.8415,0.4026,1.0,,0.546,869,
BTC,1d,CatBoost_MC,MC_null_iter11,0.8105,0.5768,1.0,,0.7289,826,
BTC,1d,CatBoost_MC,MC_null_iter12,0.353,0.3849,1.0,,0.4239,917,
BTC,1d,CatBoost_MC,MC_null_iter13,-1.5928,0.5969,1.0,,0.7665,831,
BTC,1d,CatBoost_MC,MC_null_iter14,-1.676,0.4645,1.0,,0.4828,868,
BTC,1d,CatBoost_MC,MC_null_iter15,-0.4875,0.5343,1.0,,0.3446,882,
BTC,1d,CatBoost_MC,MC_null_iter16,1.7473,0.426,1.0,,0.5087,861,
BTC,1d,CatBoost_MC,MC_null_iter17,1.0192,0.5756,1.0,,0.5852,879,
BTC,1d,CatBoost_MC,MC_null_iter18,0.804,0.5441,1.0,,0.6023,878,
BTC,1d,CatBoost_MC,MC_null_iter19,-1.9083,0.4896,1.0,,0.5089,841,
BTC,1d,CatBoost_MC,MC_null_iter20,1.7712,0.4316,1.0,,0.7069,868,
BTC,1d,CatBoost_MC,MC_null_iter21,0.888,0.544,1.0,,0.4804,892,
BTC,1d,CatBoost_MC,MC_null_iter22,1.6046,0.5477,1.0,,0.5667,897,
BTC,1d,CatBoost_MC,MC_null_iter23,-0.6446,0.5337,1.0,,0.5424,883,
BTC,1d,CatBoost_MC,MC_null_iter24,-1.2089,0.5813,1.0,,0.4728,916,
BTC,1d,CatBoost_MC,MC_null_iter25,-1.7604,0.5008,1.0,,0.4111,900,
BTC,1d,CatBoost_MC,MC_null_iter26,-0.3881,0.4799,1.0,,0.408,869,
BTC,1d,CatBoost_MC,MC_null_iter27,-1.6294,0.5862,1.0,,0.6566,828,
BTC,1d,CatBoost_MC,MC_null_iter28,-0.9547,0.5702,1.0,,0.5575,869,
BTC,1d,CatBoost_MC,MC_null_iter29,2.1891,0.5247,1.0,,0.6333,897,
BTC,1d,CatBoost_MC,MC_null_iter30,-0.4027,0.4286,1.0,,0.5989,906,
BTC,1d,CatBoost_MC,MC_null_iter31,-2.0996,0.4716,1.0,,0.6667,884,
BTC,1d,CatBoost_MC,MC_null_iter32,1.127,0.4606,1.0,,0.5112,886,
BTC,1d,CatBoost_MC,MC_null_iter33,0.5528,0.5218,1.0,,0.6404,888,
BTC,1d,CatBoost_MC,MC_null_iter34,-1.8106,0.3784,1.0,,0.6379,867,
BTC,1d,CatBoost_MC,MC_null_iter35,1.7854,0.34,1.0,,0.6885,914,
BTC,1d,CatBoost_MC,MC_null_iter36,-0.7704,0.5635,1.0,,0.5706,881,
BTC,1d,CatBoost_MC,MC_null_iter37,0.6683,0.5188,1.0,,0.657,859,
BTC,1d,CatBoost_MC,MC_null_iter38,-0.5989,0.5269,1.0,,0.5607,865,
BTC,1d,CatBoost_MC,MC_null_iter39,0.0844,0.5643,1.0,,0.6131,838,
BTC,1d,CatBoost_MC,MC_null_iter40,0.4967,0.5842,1.0,,0.6727,825,
BTC,1d,CatBoost_MC,MC_null_iter41,-0.3075,0.5866,1.0,,0.5444,899,
BTC,1d,CatBoost_MC,MC_null_iter42,-0.1459,0.5317,1.0,,0.5632,870,
BTC,1d,CatBoost_MC,MC_null_iter43,-0.5891,0.5082,1.0,,0.7006,884,
BTC,1d,CatBoost_MC,MC_null_iter44,-0.5997,0.4219,1.0,,0.5506,888,
BTC,1d,CatBoost_MC,MC_null_iter45,1.197,0.6699,1.0,,0.7294,848,
BTC,1d,CatBoost_MC,MC_null_iter46,1.6645,0.592,1.0,,0.6517,886,
BTC,1d,CatBoost_MC,MC_null_iter47,1.6212,0.4259,1.0,,0.5819,882,
